Nº_boletim;data_hora_boletim;seq_veic;cod_categ;descricao_categoria;cod_especie;descricao_especie;cod_situacao;desc_situacao;tipo_socorro;desc_tipo_socorro
2019-007208160-001;15/02/2019 07:56;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2019-007208160-001;15/02/2019 07:56;3;3;PARTICULAR                    ;6;AUTOMOVEL                     ;2;PARADO         ;6;NÃO SE APLICA       
2019-007210705-001;15/02/2019 08:21;1;4;ALUGUEL                       ;7;MICROONIBUS                   ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-007210705-001;15/02/2019 08:21;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2019-007210865-001;15/02/2019 07:34;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
2019-007210865-001;15/02/2019 07:34;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-007213098-001;15/02/2019 07:58;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2019-007213098-001;15/02/2019 07:58;1;4;ALUGUEL                       ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-007220165-001;15/02/2019 09:03;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-007220256-001;15/02/2019 08:29;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-007220256-001;15/02/2019 08:29;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2019-007222493-001;14/02/2019 15:35;1;4;ALUGUEL                       ;7;MICROONIBUS                   ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-007222493-001;14/02/2019 15:35;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2019-007229335-001;15/02/2019 08:43;1;4;ALUGUEL                       ;13;CAMINHAO                      ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-007229335-001;15/02/2019 08:43;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-007248212-001;15/02/2019 12:33;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2019-007248212-001;15/02/2019 12:33;2;4;ALUGUEL                       ;8;ONIBUS                        ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-007251517-002;15/02/2019 12:47;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-007251517-002;15/02/2019 12:47;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-007258757-001;15/02/2019 13:32;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2019-007264832-002;15/02/2019 13:45;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2019-007264832-002;15/02/2019 13:45;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-007266675-001;19/01/2019 10:00;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2019-007268687-001;15/02/2019 15:02;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-007268687-001;15/02/2019 15:02;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-007268687-001;15/02/2019 15:02;3;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-009730089-001;01/03/2019 19:17;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-009730089-001;01/03/2019 19:17;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-009730089-001;01/03/2019 19:17;3;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2019-009733509-001;01/03/2019 19:46;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2019-009733509-001;01/03/2019 19:46;2;0;NAO INFORMADO                 ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2019-009740541-001;01/03/2019 20:27;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;2;PARADO         ;6;NÃO SE APLICA       
2019-009740541-001;01/03/2019 20:27;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2019-009744578-001;01/03/2019 20:07;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2019-009747227-001;01/03/2019 21:19;1;4;ALUGUEL                       ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2019-009747227-001;01/03/2019 21:19;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-009750064-001;01/03/2019 19:54;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
2019-009750064-001;01/03/2019 19:54;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;0;NÃO INFORMADO       
2019-009754701-001;01/03/2019 19:36;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÃO SE APLICA       
